birth_decade,Gender,count,total,share
1730.0,Male,1,2,0.5
1730.0,Unknown,1,2,0.5
1740.0,Male,1,1,1.0
1750.0,Male,1,1,1.0
1760.0,Unknown,1,1,1.0
1770.0,Male,1,1,1.0
1780.0,Male,4,4,1.0
1790.0,Female,1,10,0.1
1790.0,Male,9,10,0.9
1800.0,Male,20,23,0.8695652173913043
1800.0,Unknown,3,23,0.13043478260869565
1810.0,Female,1,50,0.02
1810.0,Male,46,50,0.92
1810.0,Unknown,3,50,0.06
1820.0,Female,1,55,0.01818181818181818
1820.0,Male,51,55,0.9272727272727272
1820.0,Unknown,3,55,0.05454545454545454
1830.0,Female,1,52,0.019230769230769232
1830.0,Male,45,52,0.8653846153846154
1830.0,Unknown,6,52,0.11538461538461539
1840.0,Female,2,64,0.03125
1840.0,Male,56,64,0.875
1840.0,Unknown,6,64,0.09375
1850.0,Female,2,93,0.021505376344086023
1850.0,Male,83,93,0.8924731182795699
1850.0,Unknown,8,93,0.08602150537634409
1860.0,Female,10,210,0.047619047619047616
1860.0,Male,188,210,0.8952380952380953
1860.0,Unknown,12,210,0.05714285714285714
1870.0,Female,23,267,0.08614232209737828
1870.0,Male,230,267,0.8614232209737828
1870.0,Unknown,14,267,0.052434456928838954
1880.0,Female,40,518,0.07722007722007722
1880.0,Male,458,518,0.8841698841698842
1880.0,Unknown,20,518,0.03861003861003861
1890.0,Female,90,648,0.1388888888888889
1890.0,Male,531,648,0.8194444444444444
1890.0,Unknown,27,648,0.041666666666666664
1900.0,Female,106,803,0.1320049813200498
1900.0,Male,676,803,0.8418430884184309
1900.0,Unknown,21,803,0.026151930261519303
1910.0,Female,101,744,0.135752688172043
1910.0,Male,617,744,0.8293010752688172
1910.0,Unknown,26,744,0.03494623655913978
1920.0,Female,134,1167,0.11482433590402742
1920.0,Male,987,1167,0.8457583547557841
1920.0,Unknown,46,1167,0.03941730934018852
1930.0,Female,188,1418,0.1325811001410437
1930.0,Male,1172,1418,0.8265162200282088
1930.0,Unknown,58,1418,0.04090267983074753
1940.0,Female,302,1535,0.196742671009772
1940.0,Male,1141,1535,0.7433224755700326
1940.0,Unknown,92,1535,0.05993485342019544
1950.0,Female,265,1170,0.2264957264957265
1950.0,Male,816,1170,0.6974358974358974
1950.0,Unknown,89,1170,0.07606837606837606
1960.0,Female,315,1157,0.2722558340535869
1960.0,Male,758,1157,0.6551426101987899
1960.0,Unknown,84,1157,0.07260155574762317
1970.0,Female,216,877,0.24629418472063855
1970.0,Male,553,877,0.6305587229190421
1970.0,Unknown,108,877,0.12314709236031927
1980.0,Female,50,216,0.23148148148148148
1980.0,Male,80,216,0.37037037037037035
1980.0,Unknown,86,216,0.39814814814814814
1990.0,Female,1,72,0.013888888888888888
1990.0,Male,2,72,0.027777777777777776
1990.0,Unknown,69,72,0.9583333333333334
2000.0,Male,1,72,0.013888888888888888
2000.0,Unknown,71,72,0.9861111111111112
2010.0,Unknown,6,6,1.0
